time,value
1/1/1991,2206.690829
1/1/1992,2382.046176
1/1/1993,2526.687327
1/1/1994,2473.373964
1/1/1995,2536.892888
1/1/1996,2422.25256
1/1/1997,2684.786146
1/1/1998,2777.042758
1/1/1999,2756.562392
1/1/2000,2703.188545
1/1/2001,2807.171174
1/1/2002,2914.008533
1/1/2003,2942.790633
1/1/2004,3064.923181
1/1/2005,3184.516899
1/1/2006,3316.753148
1/1/2007,3461.741169
1/1/2008,3654.178703
1/1/2009,3749.381715
1/1/2010,3964.523069
1/1/2011,4134.686706
1/1/2012,4261.307787
1/1/2013,4311.927159
1/1/2014,4532.007774
1/1/2015,4721.984594
1/1/2016,4561.227063
1/1/2017,4426.421477
1/1/2018,4694.157203
1/1/2019,4835.524743
1/1/2020,4883.910187
1/1/2021,4946.62713
1/1/2022,5370.507035
1/1/2023,5233.073147
1/1/2024,4988.297413
1/1/2025,4952.529631
1/1/2026,5260.549762
1/1/2027,5264.550596
1/1/2028,5269.588436
1/1/2029,5455.675671
1/1/2030,5712.176088
1/1/2031,5827.204979
1/1/2032,5757.176054
1/1/2033,5722.908496
1/1/2034,5849.356501
1/1/2035,5953.972079
1/1/2036,6073.928946
1/1/2037,6124.214692
1/1/2038,6334.342636
1/1/2039,6431.28543
1/1/2040,6503.038857
1/1/2041,6577.187163
1/1/2042,6771.306959
1/1/2043,6684.063723
1/1/2044,6744.674606
1/1/2045,6839.776248
1/1/2046,6973.069314
1/1/2047,7008.754879
1/1/2048,6943.430516
1/1/2049,7042.220682
1/1/2050,6834.085119
1/1/2051,6391.314543
1/1/2052,6617.803548
1/1/2053,6496.905938
1/1/2054,6282.836082
1/1/2055,6424.731331
1/1/2056,6468.127089
1/1/2057,6336.860299
1/1/2058,6241.322193
1/1/2059,6215.118995
1/1/2060,6381.236073
